"chrom","start","end","GeneCount","unlist(genhits)","CHR","BP","P"
"chr3",187829850,187832650,1,"Zm00001d043060","chr3",187830049,1.7404610847217e-11
"chr5",107957250,108038850,0,"","chr5",108038769,1.75214510040966e-11
"chr3",35590350,35627650,0,"","chr3",35614122,1.76304250643683e-11
"chr3",110328650,110390350,0,"","chr3",110336225,1.76608678583466e-11
"chr3",55591650,55612650,1,"Zm00001d040639","chr3",55591666,1.78423440272683e-11
"chr3",81774350,81849950,0,"","chr3",81846952,1.79569730442918e-11
"chr4",121250950,121382750,0,"","chr4",121302725,1.81969272560659e-11
"chr3",82464550,82518650,0,"","chr3",82502092,1.84579378320235e-11
"chr9",42505050,42605050,3,"Zm00001d045834;Zm00001d045835;Zm00001d045836","chr9",42605043,1.88516298027558e-11
"chr8",167550950,167555250,0,"","chr8",167552701,1.89353945580305e-11
"chr2",91177550,91200950,1,"Zm00001d004203","chr2",91200894,1.89687374723559e-11
"chr8",57887150,57954250,1,"Zm00001d009349","chr8",57892113,1.94103085789325e-11
"chr3",168097550,168249850,2,"Zm00001d042450;Zm00001d042451","chr3",168101075,1.9616184644541e-11
"chr8",126285150,126318850,3,"Zm00001d010732;Zm00001d010733;Zm00001d010734","chr8",126285195,1.98614033232667e-11
"chr3",161500050,161506550,0,"","chr3",161506271,2.03871478636549e-11
"chr1",109351450,109419850,3,"Zm00001d030155;Zm00001d030157;Zm00001d030158","chr1",109419381,2.16488826568378e-11
"chr10",87875050,87900150,1,"Zm00001d024783","chr10",87875099,2.21015786937887e-11
"chr10",88115350,88118950,0,"","chr10",88116476,2.23653553761123e-11
"chr3",144231650,144358050,1,"Zm00001d041935","chr3",144357836,2.2610904669401e-11
"chr8",34036650,34057650,1,"Zm00001d009066","chr8",34057622,2.28175082897669e-11
"chr3",187113350,187134450,0,"","chr3",187133026,2.29471121457566e-11
"chr1",46821550,46855750,3,"Zm00001d028801;Zm00001d028802;Zm00001d028803","chr1",46827247,2.40272717144144e-11
"chr3",45891350,45979050,0,"","chr3",45978882,2.46328941976651e-11
"chr3",189941150,189944650,1,"Zm00001d043131","chr3",189942314,2.46825067795555e-11
"chr3",217680150,217712250,1,"Zm00001d044045","chr3",217680966,2.56244629045486e-11
"chr3",174538750,174544950,0,"","chr3",174542546,2.57630109213498e-11
"chr1",227365850,227376950,1,"Zm00001d032457","chr1",227373323,2.75437887883818e-11
"chr6",101462650,101499750,2,"Zm00001d036806;Zm00001d036807","chr6",101495523,2.82694899790288e-11
"chr3",44946250,44966550,0,"","chr3",44946451,2.84679760697739e-11
"chr6",57390750,57454050,2,"Zm00001d035862;Zm00001d035863","chr6",57397529,2.91998607250974e-11
"chr3",134550550,134551150,1,"Zm00001d041711","chr3",134551125,2.95761743646588e-11
"chr8",97571750,97697550,1,"Zm00001d010060","chr8",97624042,2.96058275469427e-11
"chr1",153357450,153705750,2,"Zm00001d030691;Zm00001d030693","chr1",153693850,3.09021647039159e-11
"chr9",35104950,35115550,1,"Zm00001d045722","chr9",35109286,3.10510158802113e-11
"chr5",105234750,105552350,2,"Zm00001d015678;Zm00001d015679","chr5",105552268,3.11147833140448e-11
"chr4",243877450,243890550,4,"Zm00001d053935;Zm00001d053936;Zm00001d053938;Zm00001d053939","chr4",243888835,3.17280184517585e-11
"chr1",233735750,233757550,5,"Zm00001d032670;Zm00001d032671;Zm00001d032672;Zm00001d032673;Zm00001d032674","chr1",233748671,3.30335447096544e-11
"chr10",8684050,8711950,1,"Zm00001d023523","chr10",8711727,3.39420545161066e-11
"chr1",33448950,33453750,1,"Zm00001d028398","chr1",33451642,3.4329514637793e-11
"chr10",49965350,49984850,1,"Zm00001d024151","chr10",49971879,3.47710080157145e-11
"chr3",40084750,40091650,2,"Zm00001d040363;Zm00001d040364","chr3",40085562,3.48618966543396e-11
"chr3",209149350,209231950,3,"Zm00001d043759;Zm00001d043760;Zm00001d043762","chr3",209231801,3.60290244558854e-11
"chr2",188529950,188619950,0,"","chr2",188619949,3.66283806197496e-11
"chr8",78665450,78683050,1,"Zm00001d009738","chr8",78682365,3.68836797064154e-11
"chr4",43538950,43595550,2,"Zm00001d049761;Zm00001d049762","chr4",43539638,3.70462706337749e-11
"chr2",2250550,2255550,1,"Zm00001d001879","chr2",2252639,3.70690630324443e-11
"chr3",9573550,9579150,1,"Zm00001d039631","chr3",9577361,3.71664284290381e-11
"chr9",80786650,80952650,1,"Zm00001d046332","chr9",80796778,3.77573360189348e-11
"chr4",86382650,86421250,1,"Zm00001d050406","chr4",86394343,3.8608236392252e-11
"chr10",8656350,8659950,1,"Zm00001d023521","chr10",8659149,3.8873019085896e-11
"chr3",197236150,197239050,1,"Zm00001d043346","chr3",197238478,3.95587163386651e-11
"chr10",108824450,108838250,1,"Zm00001d025200","chr10",108836637,4.02073327332552e-11
"chr4",80856250,81009050,0,"","chr4",80859877,4.09769992889546e-11
"chr10",124414250,124514650,3,"Zm00001d025626;Zm00001d025627;Zm00001d025628","chr10",124513921,4.18672138550348e-11
"chr1",239772150,239809150,1,"Zm00001d032839","chr1",239775366,4.1945464240935e-11
"chr10",118989950,119057450,1,"Zm00001d025452","chr10",119057137,4.29742596851048e-11
"chr1",28081550,28109150,3,"Zm00001d028256;Zm00001d028257;Zm00001d028258","chr1",28108226,4.32081238928975e-11
"chr1",43049150,43085950,2,"Zm00001d028686;Zm00001d028687","chr1",43083057,4.32716539526866e-11
"chr6",62966750,62967650,1,"Zm00001d035964","chr6",62967033,4.43489422037213e-11
"chr8",68052450,68187550,1,"Zm00001d009508","chr8",68052597,4.49514377573929e-11
"chr1",226863650,226933650,5,"Zm00001d032447;Zm00001d032448;Zm00001d032449;Zm00001d032450;Zm00001d032451","chr1",226867092,4.5152160545744e-11
"chr3",183919550,183962750,0,"","chr3",183920379,4.52684352066342e-11
"chr5",168789750,168790950,1,"Zm00001d016591","chr5",168790920,4.59244053806128e-11
"chr3",135292050,135340450,1,"Zm00001d041725","chr3",135292812,4.80456553433091e-11
"chr10",41532650,41950150,1,"Zm00001d024072","chr10",41923466,4.87825524945225e-11
"chr8",126903150,126912650,0,"","chr8",126908999,4.9562459916119e-11
"chr3",221425350,221435750,1,"Zm00001d044188","chr3",221429676,4.99141657033952e-11
"chr3",230177550,230184850,1,"Zm00001d044506","chr3",230180188,5.02096919099987e-11
"chr8",167251450,167261450,1,"Zm00001d012052","chr8",167251572,5.0690488705843e-11
"chr1",33626450,33654950,2,"Zm00001d028401;Zm00001d028402","chr1",33647672,5.39710044148426e-11
"chr4",203552950,203594750,0,"","chr4",203557640,5.7256921808551e-11
"chr3",124491150,124556150,2,"Zm00001d041502;Zm00001d041504","chr3",124543096,6.29051589334681e-11
"chr1",223265250,223290750,1,"Zm00001d032344","chr1",223288807,6.39809169441757e-11
"chr3",202096650,202108850,2,"Zm00001d043502;Zm00001d043503","chr3",202108508,6.42967507618138e-11
"chr2",77588050,77706450,1,"Zm00001d004036","chr2",77706410,6.45226969392867e-11
"chr5",136650750,136655450,1,"Zm00001d015984","chr5",136655401,6.5040618680236e-11
"chr10",10268350,10290850,1,"Zm00001d023563","chr10",10269728,6.58056235119574e-11
"chr5",46337750,46591050,5,"Zm00001d014425;Zm00001d014426;Zm00001d014427;Zm00001d014428;Zm00001d014429","chr5",46341139,6.58949842752413e-11
"chr4",243890550,243899150,1,"Zm00001d053940","chr4",243891056,6.64739550799017e-11
"chr10",121887450,121920650,1,"Zm00001d025547","chr10",121888274,6.80691152138445e-11
"chr1",229837450,229855450,1,"Zm00001d032535","chr1",229848664,6.8471734883907e-11
